tweet_text,recipient,emotion,brand,tweet_length,lemmatized_review,emotion_code
"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via', 'user', 'sxsw']",none,Neutral,none,14,holler gram ipad itunes app store via user sxsw,1
"['noticed', 'dst', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",iPhone,Negative,Apple,24,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,0
"['added', 'sxsw', 'flight', 'user', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'user', 'iphone', 'app', 'nicely', 'done']",iPad or iPhone App,Positive,Apple,19,added sxsw flight user matching people planesairports also downloaded user iphone app nicely done,2
"['must', 'sxsw', 'app', 'rt', 'user', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",iPad or iPhone App,Positive,Apple,19,must sxsw app rt user lovely review forbes sxsw ipad app holler gram,2
"['need', 'buy', 'ipad2', 'austin', 'sxsw', 'sure', 'need', 'q', 'austin', 'apple', 'store']",iPad,Positive,Apple,24,need buy ipad2 austin sxsw sure need q austin apple store,2
"['oh', 'god', 'sxsw', 'app', 'ipad', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",iPad or iPhone App,Positive,Apple,23,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,2
"['okay', 'really', 'yay', 'new', 'user', 'android', 'app11', 'kthxbai', 'sxsw']",Android App,Positive,Google,13,okay really yay new user android app11 kthxbai sxsw,2
"['photo', 'installed', 'sxsw', 'iphone', 'app', 'really', 'nice']",iPad or iPhone App,Positive,Apple,12,photo installed sxsw iphone app really nice,2
"['really', 'enjoying', 'change', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'sleeve', 'sxsw']",Android App,Positive,Google,24,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw,2
"['rt', 'user', 'looking', 'forward', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'hoping', 'win', 'ipad', 'resulting', 'shameless', 'promotion', 'chevysmc']",iPad,Positive,Apple,24,rt user looking forward smcdallas pre sxsw party wed hoping win ipad resulting shameless promotion chevysmc,2
"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw', 'via', 'user']",iPad or iPhone App,Positive,Apple,13,rt haha awesomely rad ipad app user hollergram sxsw via user,2
"['someone', 'started', 'austin', 'user', 'group', 'google', 'group', 'presxsw', 'great', 'idea']",Other Google product or service,Positive,,12,someone started austin user group google group presxsw great idea,2
"['new', '4sq3', 'look', 'like', 'going', 'rock', 'update', 'iphone', 'android', 'push', 'tonight', 'sxsw', 'keepaustinweird']",iPad or iPhone App,Positive,Apple,21,new 4sq3 look like going rock update iphone android push tonight sxsw keepaustinweird,2
"['right', 'user', '3', 'app', 'android', 'sweet', 'nice', 'job', 'team', 'sxsw']",Android App,Positive,Google,18,right user 3 app android sweet nice job team sxsw,2
"['smart', 'user', 'hollergram', 'ipad', 'app', 'sxsw', 'may', 'leave', 'vuvuzela', 'home']",iPad or iPhone App,Positive,Apple,17,smart user hollergram ipad app sxsw may leave vuvuzela home,2
"['must', 'app', 'ipad', 'going', 'sxsw', 'hollergram']",iPad or iPhone App,Positive,Apple,16,must app ipad going sxsw hollergram,2
"['attn', 'sxsw', 'frineds', 'user', 'register', 'gdgtlive', 'see', 'cobra', 'iradar', 'android', 'link']",none,Neutral,none,15,attn sxsw frineds user register gdgtlive see cobra iradar android link,1
"['anyone', 'sxsw', 'want', 'sell', 'old', 'ipad']",none,Neutral,none,9,anyone sxsw want sell old ipad,1
"['anyone', 'sxsw', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",none,Neutral,none,16,anyone sxsw bought new ipad want sell older ipad,1
"['sxsw', 'ooh', 'rt', 'user', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",none,Neutral,none,17,sxsw ooh rt user google launch major new social network called circle possibly today link,1
"['best', 'rt', 'user', 'ha', 'first', 'line', 'ipad2', 'sxsw', 'quotpopupquot', 'apple', 'store', 'event', 'planner', 'eventprofs', 'pcma', 'engage365']",iPad,Positive,Apple,22,best rt user ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,2
"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'user', 'amp', 'spincom', 'link', 'itunes', 'sxsw', 'user']",none,Neutral,none,20,spin play new concept music discovery ipad user amp spincom link itunes sxsw user,1
"['user', 'false', 'alarm', 'google', 'circle', 'coming', 'now\x89ûòand', 'probably', 'ever', 'link', 'google', 'circle', 'social', 'sxsw']",Google,Negative,Google,18,user false alarm google circle coming nowûòand probably ever link google circle social sxsw,0
"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve', 'link', 'sxsw']",none,Neutral,none,12,vatornews google apple force print medium evolve link sxsw,1
"['user', 'great', 'weather', 'greet', 'sxsw', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Apple,Positive,Apple,23,user great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,2
"['hootsuite', 'hootsuite', 'mobile', 'sxsw', 'update', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'you\x89ûªre', 'getting', 'friend', 'link']",none,Neutral,none,18,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youûªre getting friend link,1
"['hey', 'sxsw', 'long', 'think', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'user', 'using', 'zazzlesxsw', 'we\x89ûªll', 'make', 'one']",none,Neutral,none,25,hey sxsw long think take u make iphone case answer user using zazzlesxsw weûªll make one,1
"['mashable', 'ipad', '2', 'take', 'sxsw', 'video', 'ipad', 'sxsw', 'gadget', 'link']",none,Neutral,none,13,mashable ipad 2 take sxsw video ipad sxsw gadget link,1
"['ipad', 'rt', 'user', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'link']",none,Neutral,none,21,ipad rt user new ubersocial iphone app store includes uberguide sxsw sponsored link,1
"['ipad2', '\x89û÷smartcover\x89ûª', 'open', 'instant', 'access', 'waited', 'get', 'one', 'link', 'apple', 'sxsw']",iPad or iPhone App,Positive,Apple,19,ipad2 û÷smartcoverûª open instant access waited get one link apple sxsw,2
"['handheld', '\x89û÷hobo\x89ûª', 'drafthouse', 'launch', '\x89û÷hobo', 'shotgun\x89ûª', 'iphone', 'app', 'sxsw', 'link']",none,Positive,none,12,handheld û÷hoboûª drafthouse launch û÷hobo shotgunûª iphone app sxsw link,2
"['hooray', 'rt', '\x89ûïuser', 'apple', 'opening', 'popup', 'store', 'austin', 'sxsw', 'user', 'link']",Apple,Positive,Apple,16,hooray rt ûïuser apple opening popup store austin sxsw user link,2
"['orly', '\x89ûïuser', 'google', 'set', 'launch', 'new', 'social', 'network', 'circle', 'today', 'sxsw\x89û\x9d']",none,Neutral,none,13,orly ûïuser google set launch new social network circle today sxswû,1
"['woo', '\x89ûïuser', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw\x89û\x9d']",Apple,Positive,Apple,10,woo ûïuser apple store downtown austin open til midnight sxswû,2
"['khoi', 'vinh', 'user', 'say', 'conde', 'nast', 'headlong', 'rush', 'ipad', 'publishing', 'quotfundamental', 'misunderstandingquot', 'platform', 'sxsw']",none,Neutral,none,19,khoi vinh user say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,1
"['\x89ûïuser', 'link', 'lt', 'help', 'forward', 'doc', 'anonymous', 'account', 'techiesamp', 'people', 'help', 'u', 'jam', 'libya', 'sxsw']",none,Neutral,none,21,ûïuser link lt help forward doc anonymous account techiesamp people help u jam libya sxsw,1
"['\x89÷¼', '\x89÷', 'link', '\x89ã', 'edchat', 'musedchat', 'sxsw', 'sxswi', 'classical', 'newtwitter']",none,Neutral,none,11,÷¼ ÷ link ã edchat musedchat sxsw sxswi classical newtwitter,1
"['user', 'user', 'locationbased', 'fast', 'fun', 'future', 'link', 'via', 'user', 'sxsw']",none,Neutral,none,14,user user locationbased fast fun future link via user sxsw,1
"['\x89ûïuser', 'user', 'google', 'connect', 'digital', 'amp', 'physical', 'world', 'mobile', 'link', 'sxsw\x89û\x9d', 'user']",none,Neutral,none,16,ûïuser user google connect digital amp physical world mobile link sxswû user,1
"['\x89ûïuser', 'user', 'talking', 'link', 'google', 'effort', 'allow', 'user', 'open', 'system', 'bettercloud', 'sxsw\x89û\x9d']",Google,Positive,Google,17,ûïuser user talking link google effort allow user open system bettercloud sxswû,2
"['link', 'rt', 'user', 'quotgoogle', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinsky', '911tweets', 'panel', 'sxsw']",none,Neutral,none,21,link rt user quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw,1
"['link', 'rt', 'user', '1st', 'stop', 'sxsw', 'chaos', 'amp', 'user', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",iPad,Positive,Apple,26,link rt user 1st stop sxsw chaos amp user hunt austin java get spy game 4 chance 2 win ipad,2
"['link', 'rt', 'user', 'sxsw', 'check', 'holler', 'gram', 'ipad', 'app', 'user', 'link']",none,Neutral,none,16,link rt user sxsw check holler gram ipad app user link,1
"['user', 'user', 'amp', 'user', 'fun', 'google', 'pic', 'sxsw', 'link']",none,Neutral,none,11,user user amp user fun google pic sxsw link,1
"['quotvia', 'user', 'link', 'guy', 'kawasaki', 'talk', 'enchanted', 'sxsw', 'know', 'stuff', 'book', 'internet', 'apple', 'sxsw', 'quot']",none,Neutral,none,20,quotvia user link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot,1
"['futuremf', 'user', 'link', 'spec', 'recipe', 'web', 'google', 'search', 'link', 'sxsw']",none,Neutral,none,15,futuremf user link spec recipe web google search link sxsw,1
"['omfg', 'rt', 'user', 'heard', 'apple', 'popup', 'store', 'downtown', 'austin', 'pic', 'already', 'gowalla', 'link', 'sxsw', 'ipad2']",Apple,Positive,Apple,19,omfg rt user heard apple popup store downtown austin pic already gowalla link sxsw ipad2,2
"['smile', 'rt', 'user', 'think', 'apple', 'quotpopup', 'storequot', 'austin', 'would', 'lot', 'interesting', 'actually', 'know', 'popped', 'sxsw']",Apple,Neutral,Apple,24,smile rt user think apple quotpopup storequot austin would lot interesting actually know popped sxsw,1
"['rt', 'user', 'line', 'apple', 'store', 'insane', 'sxsw']",none,Negative,none,11,rt user line apple store insane sxsw,0
"['agree', 'rt', 'user', 'wait', 'fiona', 'apple', 'town', 'somebody', 'kidnap', 'put', 'recording', 'studio', 'record', 'new', 'album', 'sxsw']",none,Neutral,none,26,agree rt user wait fiona apple town somebody kidnap put recording studio record new album sxsw,1
"['sxsw', 'user', 'user', 'want', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join', 'u']",none,Neutral,none,18,sxsw user user want buy drink 7pm fado 4th link join u,1
"['attending', 'user', 'ipad', 'design', 'headache', 'sxsw', 'link']",iPad,Negative,Apple,7,attending user ipad design headache sxsw link,0
"['boo', 'rt', 'user', 'flipboard', 'developing', 'iphone', 'version', 'android', 'say', 'user', 'sxsw']",none,Negative,none,14,boo rt user flipboard developing iphone version android say user sxsw,0
"['check', 'user', 'user', 'amp', 'user', 'line', 'ipad', '2', 'austin', 'power', 'sxswi', 'sxsw', 'link']",iPad,Positive,Apple,20,check user user amp user line ipad 2 austin power sxswi sxsw link,2
"['check', 'rt', 'user', 'giving', 'added', 'value', 'location', 'based', 'service', 'need', 'battle', 'checkin', 'fatigue', 'google', 'pnid', 'sxsw']",none,Neutral,none,18,check rt user giving added value location based service need battle checkin fatigue google pnid sxsw,1
"['chilcott', 'user', 'sxsw', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'user', 'tshirt']",none,Neutral,none,21,chilcott user sxsw stand talking blogger staff late win competition best tweet mentioning user tshirt,1
"['rt', 'user', 'come', 'party', 'w', 'google', 'tonight', 'sxsw', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",Google,Positive,Google,21,rt user come party w google tonight sxsw link band food art ice cream nifty interactive map,2
"['gowallas', 'user', 'promise', 'launch', 'foursquare', 'checkin', 'groupon', 'rewardstype', 'service', 'sxsw', 'finger', 'crossed', 'link']",none,Neutral,none,16,gowallas user promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link,1
"['haha', 'rt', 'user', 'sxsw', 'news', 'yahoocom', 'loosing', 'search', 'traffic', 'new', 'site', 'googlecom', 'doubt', 'last', 'though', 'w', 'weird', 'name']",none,Neutral,none,23,haha rt user sxsw news yahoocom loosing search traffic new site googlecom doubt last though w weird name,1
"['holla', 'rt', 'user', 'google', 'party', 'best', 'ever', 'get', 'butt', 'sxsw']",Google,Positive,Google,14,holla rt user google party best ever get butt sxsw,2
"['love', 'user', 'iphone', 'case', 'sxsw', 'get', 'phone', 'fail']",iPhone,Positive,Apple,18,love user iphone case sxsw get phone fail,2
"['worship', 'user', 'link', 'sxsw']",none,Neutral,none,5,worship user link sxsw,1
"['ipad2', 'rt', 'user', 'droid', 'amp', 'mac', 'rt', 'user', 'agnerd', 'confession', 'using', 'laptop', 'ipad', 'amp', 'blackberry', 'follow', 'sxsw']",none,Neutral,none,21,ipad2 rt user droid amp mac rt user agnerd confession using laptop ipad amp blackberry follow sxsw,1
"['launching', 'user', 'sxsw', 'rt', 'user', 'user', 'denies', 'social', 'network', 'called', 'circle', 'debut', 'today', 'despite', 'report', 'link']",none,Neutral,none,17,launching user sxsw rt user user denies social network called circle debut today despite report link,1
"['new', 'post', 'user', 'iphone', 'app', 'make', 'easy', 'connect', 'social', 'network', 'people', 'meet', 'link', 'sxsw']",iPad or iPhone App,Positive,Apple,20,new post user iphone app make easy connect social network people meet link sxsw,2
"['nice', 'user', 'iphone', 'app', 'behaving', 'today', 'crash', 'yesterday', 'ridiculous', 'sxsw']",iPad or iPhone App,Positive,Apple,13,nice user iphone app behaving today crash yesterday ridiculous sxsw,2
"['nice', 'rt', 'user', 'apple', 'opening', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'sxsw', 'link', 'via', 'user']",none,Neutral,none,18,nice rt user apple opening popup store ipad launch downtown austin sxsw link via user,1
"['nice', 'rt', 'user', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'slated', 'popup', 'sxsw', 'apple', 'store', 'tomorrow', 'link']",Apple,Positive,Apple,23,nice rt user hey apple fan get peek space slated popup sxsw apple store tomorrow link,2
"['one', 'thing', 'user', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love', 'sxsw', 'sxwsi']",Google,Positive,Google,28,one thing user great get great earth face google company love sxsw sxwsi,2
"['stay', 'tune', 'user', 'showcase', 'h4ckers', 'link', 'sxsw']",none,Neutral,none,7,stay tune user showcase h4ckers link sxsw,1
"['thank', 'user', 'user', 'touchingstories', 'preso', 'sxsw', 'deck', 'link']",none,Neutral,none,14,thank user user touchingstories preso sxsw deck link,1
"['thank', 'user', 'awesome', 'sxsw', 'party', 'link']",none,Neutral,none,9,thank user awesome sxsw party link,1
"['thanks', 'rt', 'user', 'trying', 'contact', 'friend', 'family', 'japan', 'user', 'created', 'person', 'finder', 'link', 'sxsw']",none,Neutral,none,21,thanks rt user trying contact friend family japan user created person finder link sxsw,1
"['thanks', 'user', 'mention', 'new', 'speech', 'ipad', 'apps', 'showcased', 'sxsw', 'conf', 'link', 'sxswh', 'sxsh']",iPad or iPhone App,Positive,Apple,21,thanks user mention new speech ipad apps showcased sxsw conf link sxswh sxsh,2
"['thanks', 'user', 'publishing', 'news', 'user', 'new', 'medical', 'apps', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh']",none,Neutral,none,20,thanks user publishing news user new medical apps sxswi conf blog link sxsw sxswh,1
"['thanks', 'user', 'publishing', 'news', 'new', 'medical', 'apps', 'sxswi', 'conf', 'blog', 'link', 'sxsw', 'sxswh', 'mhealth']",none,Neutral,none,21,thanks user publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,1
"['user', 'sxsw', 'provide', 'iphone', 'charger', 'changed', 'mind', 'going', 'next', 'year']",iPhone,Negative,Apple,17,user sxsw provide iphone charger changed mind going next year,0
"['wonder', 'user', 'amp', 'user', 'apple', 'flashmob', 'tcrnchfcs45j', 'sxsw', 'ipad2']",none,Neutral,none,14,wonder user amp user apple flashmob tcrnchfcs45j sxsw ipad2,1
"['wonder', 'user', 'putting', 'tip', 'user', 'api', 'sxsw', 'suxsw']",none,Neutral,none,12,wonder user putting tip user api sxsw suxsw,1
"['xmas', 'rt', 'user', 'shiny', 'new', 'user', 'user', 'user', 'apps', 'new', 'user', 'book', 'popup', 'ipad', '2', 'store', 'sxsw', 'christmas', 'nerd']",iPad,Positive,Apple,22,xmas rt user shiny new user user user apps new user book popup ipad 2 store sxsw christmas nerd,2
"['yai', 'rt', 'user', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'cont', 'link']",iPhone,Positive,Apple,20,yai rt user new ubersocial iphone app store includes uberguide sxsw sponsored cont link,2
"['yes', 'rt', 'user', 'hey', 'user', 'got', 'another', 'gem', 'gt', 'free', 'user', 'sxsw', 'link', 'sxsw']",none,Neutral,none,18,yes rt user hey user got another gem gt free user sxsw link sxsw,1
"['fast', 'fun', 'amp', 'future', 'user', 'google', 'presenting', 'sxsw', 'search', 'local', 'mobile']",Google,Positive,Google,15,fast fun amp future user google presenting sxsw search local mobile,2
"['gsdampm', 'amp', 'google', 'industry', 'party', 'tonight', 'user', 'see', 'link', 'sxsw', 'austin', 'welivehere', 'gsdm']",none,Neutral,none,16,gsdampm amp google industry party tonight user see link sxsw austin welivehere gsdm,1
"['new', 'buzz', 'quotuser', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link', 'rt', 'user', 'sxswquot']",none,Neutral,none,18,new buzz quotuser google launch major new social network called circle possibly today link rt user sxswquot,1
"['headline', 'quotipad', '2', 'musthave', 'gadget', 'sxswquot', 'hmm', 'could', 'seen', 'one', 'coming', 'link', 'gadget']",iPad,Positive,Apple,19,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget,2
"['\x89ûïuser', 'quotapple', 'opened', 'popup', 'store', 'austin', 'nerd', 'town', 'sxsw', 'get', 'new', 'ipads', 'link', 'wow']",none,Neutral,none,23,ûïuser quotapple opened popup store austin nerd town sxsw get new ipads link wow,1
"['know', 'quotdatavizquot', 'translates', 'quotsatanicquot', 'iphone', 'sayin', 'sxsw']",none,Negative,none,13,know quotdatavizquot translates quotsatanicquot iphone sayin sxsw,0
"['user', 'quotgoogle', 'launched', 'checkins', 'month', 'agoquot', 'check', 'in', 'ok', 'check', 'out', 'future', 'sxsw', 'bizzy']",Google,Positive,Google,19,user quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy,2
"['user', 'quotgoogle', 'launched', 'checkins', 'month', 'agoquot', 'check', 'in', 'ok', 'check', 'out', 'future', 'sxsw', 'bizzy', 'via', 'user']",none,Neutral,none,21,user quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy via user,1
"['\x89ûïuser', 'quotgoogle', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinsky', '911tweets', 'panel', 'sxsw\x89û\x9d']",Google,Positive,Google,19,ûïuser quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxswû,2
"['attending', 'quotleft', 'brain', 'search', 'google', 'right', 'brain', 'search', 'xquot', 'bettersearch', 'talking', 'future', 'search', 'engine', 'sxsw']",none,Neutral,none,22,attending quotleft brain search google right brain search xquot bettersearch talking future search engine sxsw,1
"['hp', 'open', 'quotmobile', 'parkquot', 'amp', 'content', 'incubator', 'sxsw', 'link', 'apple', 'construct', 'quotpopupquot', 'store', 'link']",none,Neutral,none,15,hp open quotmobile parkquot amp content incubator sxsw link apple construct quotpopupquot store link,1
"['kawasaki', 'quotnot', 'c', 'lewis', 'level', 'reasoning', 'apple', 'continued', 'existence', 'evidence', 'existence', 'godquot', 'bawling', 'sxsw']",Apple,Positive,Apple,19,kawasaki quotnot c lewis level reasoning apple continued existence evidence existence godquot bawling sxsw,2
"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'day', 'sxsw', 'jwtatl', 'enchantment']",none,Neutral,none,12,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment,1
"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'day', 'sxsw', 'jwtatl', 'enchantment', 'via', 'user']",Apple,Positive,Apple,14,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment via user,2
"['spark', 'android', 'teamandroid', 'award', 'sxsw', 'read', 'link']",none,Positive,none,16,spark android teamandroid award sxsw read link,2
"['unboxing', 'apple', 'sxsw', 'user', 'apple', 'store', 'sxsw', 'link']",none,Neutral,none,8,unboxing apple sxsw user apple store sxsw link,1
"['sxsw', 'apple', 'ipad', '2', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'earthquake', 'amp', 'tsunami', 'trauma', 'sxswi']",iPad,Positive,Apple,22,sxsw apple ipad 2 great thought w japan apac region dealing w earthquake amp tsunami trauma sxswi,2
"['sxsw', 'apple', 'school', 'marketing', 'expert', 'sxsw', 'cnet', 'blog', 'link']",none,Neutral,none,13,sxsw apple school marketing expert sxsw cnet blog link,1
"['sxsw', 'apple', 'school', 'marketing', 'expert', 'link']",Apple,Positive,Apple,9,sxsw apple school marketing expert link,2
"['sxsw', 'apple', 'school', 'marketing', 'expert', 'link']",none,Neutral,none,8,sxsw apple school marketing expert link,1
"['temporary', 'apple', 'store', 'def', 'tent', 'powerhouse', 'gym', 'sxsw', 'link']",Apple,Positive,Apple,14,temporary apple store def tent powerhouse gym sxsw link,2
"['temporary', 'apple', 'store', '6th', 'congress', 'sxsw', 'along', '100', 'happy', 'hipster']",Apple,Positive,Apple,15,temporary apple store 6th congress sxsw along 100 happy hipster,2
"['\x89ûïuser', 'apple', 'win', 'sxsw', 'link', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'ipad2', 'launch', 'good']",Apple,Positive,Apple,20,ûïuser apple win sxsw link opening temporary store downtown austin support ipad2 launch good,2
"['ipad', 'austin', 'trending', 'today', 'fun', 'sxsw', 'nerdy', 'nerd']",iPad,Positive,Apple,14,ipad austin trending today fun sxsw nerdy nerd,2
"['headed', 'austin', 'sxsw', 'check', 'map', 'newbie', 'link', 'user', 'user', 'user', 'user', 'enjoy']",none,Neutral,none,18,headed austin sxsw check map newbie link user user user user enjoy,1
"['funny', 'austin', 'trending', 'sxsw', 'matter', 'minute', 'point', 'least', 'according', 'twitter', 'iphone']",none,Neutral,none,23,funny austin trending sxsw matter minute point least according twitter iphone,1
"['christian', 'ipad', 'iphone', 'devs', 'want', 'talk', 'sxsw', 'maybe', 'wk', 'together', 'cool', 'app', 'user']",iPad or iPhone App,Positive,Apple,24,christian ipad iphone devs want talk sxsw maybe wk together cool app user,2
"['sxsw', 'ux', 'ipad', 'uxdes', 'remember', 'ultimately', 'aware', 'audience', 'app', 'targeted', 'towards', 'unexpected', 'experience', 'good']",none,Neutral,none,23,sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,1
"['apple', 'ipad2', 'taken', 'sxsw', 'austin', 'storm', 'link', 'user', 'excited', 'part', 'mobile']",iPad,Positive,Apple,19,apple ipad2 taken sxsw austin storm link user excited part mobile,2
"['haz', 'ipad2', 'ifrom', 'sxsw', 'gr8', 'link']",iPad,Positive,Apple,8,haz ipad2 ifrom sxsw gr8 link,2
"['stack', 'ipad2s', 'waiting', 'bought', 'sxsw', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly', 'link']",iPad,Positive,Apple,21,stack ipad2s waiting bought sxsw got mine hassle apple handled perfectly link,2
"['google', 'mobile', 'future', 'elusive', 'power', 'link', 'via', 'user', 'eurorscg', 'sxsw', 'sxswi']",none,Neutral,none,16,google mobile future elusive power link via user eurorscg sxsw sxswi,1
"['notatsxsw', 'sxsw', 'link', 'free', 'download', 'meet', 'nearby', 'pep']",none,Neutral,none,15,notatsxsw sxsw link free download meet nearby pep,1
